CustomerId,review,stars
CUST0001,Would not recommend this to anyone.,1
CUST0002,Had a bad experience. Would not buy again.,1
CUST0003,Great value for the price. Highly recommend it.,4
CUST0004,Top-notch product. Excellent customer service as well.,5
CUST0005,Great value for the price. Highly recommend it.,4
CUST0006,Fairly priced and average in performance.,2
CUST0007,Five stars for quality and efficiency.,4
CUST0008,"Not worth the money, poorly made.",1
CUST0009,"Terrible product, stopped working after a week.",1
CUST0010,"Some features are useful, others are not.",3
CUST0011,Extremely dissatisfied. Waste of money.,2
CUST0012,Product did not match the description.,1
CUST0013,Highly durable and easy to use.,4
CUST0014,"Some features are useful, others are not.",2
CUST0015,Would not recommend this to anyone.,2
CUST0016,Top-notch product. Excellent customer service as well.,5
CUST0017,Had a bad experience. Would not buy again.,1
CUST0018,This product exceeded my expectations and works flawlessly.,5
CUST0019,Impressive features and reliable functionality.,4
CUST0020,Absolutely love it. Will definitely purchase again.,4
CUST0021,Had a bad experience. Would not buy again.,1
CUST0022,Extremely dissatisfied. Waste of money.,2
CUST0023,Highly durable and easy to use.,5
CUST0024,"Not bad, but not great either.",3
CUST0025,"Not worth the money, poorly made.",1
CUST0026,Well built and performs better than expected.,5
CUST0027,"It works fine, but I was expecting more.",2
CUST0028,Product did not match the description.,2
CUST0029,Highly durable and easy to use.,5
CUST0030,Impressive features and reliable functionality.,4
CUST0031,Five stars for quality and efficiency.,4
CUST0032,This product exceeded my expectations and works flawlessly.,4
CUST0033,Had a bad experience. Would not buy again.,2
CUST0034,"It works fine, but I was expecting more.",2
CUST0035,Very disappointed with the quality and support.,1
CUST0036,Arrived broken and customer support was unhelpful.,2
CUST0037,"The product is okay, does what it's supposed to.",3
CUST0038,Quality is subpar and lacks durability.,2
CUST0039,"It works fine, but I was expecting more.",3
CUST0040,Highly durable and easy to use.,5
CUST0041,Quality is subpar and lacks durability.,2
CUST0042,Product did not match the description.,1
CUST0043,"The product is okay, does what it's supposed to.",2
CUST0044,Five stars for quality and efficiency.,5
CUST0045,Arrived broken and customer support was unhelpful.,1
CUST0046,Highly durable and easy to use.,4
CUST0047,It's functional but has its flaws.,3
CUST0048,Poor performance and unreliable.,2
CUST0049,Great value for the price. Highly recommend it.,4
CUST0050,"Terrible product, stopped working after a week.",1
CUST0051,Impressive features and reliable functionality.,5
CUST0052,Product is decent but could use improvements.,2
CUST0053,Would not recommend this to anyone.,1
CUST0054,Product is decent but could use improvements.,3
CUST0055,This product exceeded my expectations and works flawlessly.,4
CUST0056,Extremely dissatisfied. Waste of money.,1
CUST0057,Highly durable and easy to use.,4
CUST0058,Great value for the price. Highly recommend it.,5
CUST0059,The design and usability are outstanding.,5
CUST0060,Extremely dissatisfied. Waste of money.,1
CUST0061,"Terrible product, stopped working after a week.",1
CUST0062,Fairly priced and average in performance.,3
CUST0063,The design and usability are outstanding.,4
CUST0064,Well built and performs better than expected.,5
CUST0065,Quality is subpar and lacks durability.,1
CUST0066,"Terrible product, stopped working after a week.",2
CUST0067,Fairly priced and average in performance.,2
CUST0068,Highly durable and easy to use.,5
CUST0069,This product exceeded my expectations and works flawlessly.,4
CUST0070,Arrived broken and customer support was unhelpful.,1
CUST0071,"Some features are useful, others are not.",3
CUST0072,Mediocre quality but serves the purpose.,2
CUST0073,Fairly priced and average in performance.,3
CUST0074,Five stars for quality and efficiency.,4
CUST0075,Mediocre quality but serves the purpose.,3
CUST0076,"It works fine, but I was expecting more.",2
CUST0077,"Neither good nor bad, just acceptable.",3
CUST0078,Very satisfied with the quality and performance.,4
CUST0079,Mediocre quality but serves the purpose.,3
CUST0080,Five stars for quality and efficiency.,4
CUST0081,Impressive features and reliable functionality.,4
CUST0082,The design and usability are outstanding.,5
CUST0083,"Neither good nor bad, just acceptable.",2
CUST0084,"It works fine, but I was expecting more.",3
CUST0085,"It works fine, but I was expecting more.",2
CUST0086,"Some features are useful, others are not.",3
CUST0087,Very satisfied with the quality and performance.,5
CUST0088,"Not bad, but not great either.",3
CUST0089,Well built and performs better than expected.,5
CUST0090,"It works fine, but I was expecting more.",2
CUST0091,It's functional but has its flaws.,3
CUST0092,This product exceeded my expectations and works flawlessly.,5
CUST0093,Fairly priced and average in performance.,2
CUST0094,Absolutely love it. Will definitely purchase again.,5
CUST0095,Fairly priced and average in performance.,3
CUST0096,Quality is subpar and lacks durability.,1
CUST0097,Product did not match the description.,2
CUST0098,"Terrible product, stopped working after a week.",2
CUST0099,Product did not match the description.,1
CUST0100,Quality is subpar and lacks durability.,1
CUST0101,"The product is okay, does what it's supposed to.",3
CUST0102,Top-notch product. Excellent customer service as well.,5
CUST0103,"The product is okay, does what it's supposed to.",2
CUST0104,"Not worth the money, poorly made.",2
CUST0105,Quality is subpar and lacks durability.,1
CUST0106,Product is decent but could use improvements.,2
CUST0107,"Some features are useful, others are not.",2
CUST0108,Very disappointed with the quality and support.,2
CUST0109,Would not recommend this to anyone.,2
CUST0110,Very satisfied with the quality and performance.,4
CUST0111,Very satisfied with the quality and performance.,5
CUST0112,Well built and performs better than expected.,5
CUST0113,Product is decent but could use improvements.,2
CUST0114,"Not bad, but not great either.",3
CUST0115,Great value for the price. Highly recommend it.,4
CUST0116,Extremely dissatisfied. Waste of money.,2
CUST0117,This product exceeded my expectations and works flawlessly.,5
CUST0118,Very satisfied with the quality and performance.,4
CUST0119,Impressive features and reliable functionality.,5
CUST0120,"The product is okay, does what it's supposed to.",3
CUST0121,It's functional but has its flaws.,2
CUST0122,Would not recommend this to anyone.,1
CUST0123,Mediocre quality but serves the purpose.,3
CUST0124,Product did not match the description.,2
CUST0125,"Terrible product, stopped working after a week.",2
CUST0126,Would not recommend this to anyone.,2
CUST0127,Very disappointed with the quality and support.,1
CUST0128,"Terrible product, stopped working after a week.",1
CUST0129,"It works fine, but I was expecting more.",3
CUST0130,"Some features are useful, others are not.",3
CUST0131,Absolutely love it. Will definitely purchase again.,4
CUST0132,Extremely dissatisfied. Waste of money.,2
CUST0133,Well built and performs better than expected.,4
CUST0134,"Some features are useful, others are not.",2
CUST0135,Fairly priced and average in performance.,2
CUST0136,Quality is subpar and lacks durability.,2
CUST0137,"The product is okay, does what it's supposed to.",3
CUST0138,"The product is okay, does what it's supposed to.",2
CUST0139,The design and usability are outstanding.,4
CUST0140,Product is decent but could use improvements.,2
CUST0141,"Average experience, nothing special.",3
CUST0142,Very satisfied with the quality and performance.,4
CUST0143,Impressive features and reliable functionality.,5
CUST0144,Highly durable and easy to use.,5
CUST0145,Extremely dissatisfied. Waste of money.,2
CUST0146,Great value for the price. Highly recommend it.,4
CUST0147,"Terrible product, stopped working after a week.",1
CUST0148,"Some features are useful, others are not.",2
CUST0149,Absolutely love it. Will definitely purchase again.,4
CUST0150,This product exceeded my expectations and works flawlessly.,5
CUST0151,Very disappointed with the quality and support.,1
CUST0152,Poor performance and unreliable.,1
CUST0153,Quality is subpar and lacks durability.,1
CUST0154,Quality is subpar and lacks durability.,2
CUST0155,Top-notch product. Excellent customer service as well.,5
CUST0156,Impressive features and reliable functionality.,4
CUST0157,It's functional but has its flaws.,3
CUST0158,Great value for the price. Highly recommend it.,4
CUST0159,"Some features are useful, others are not.",2
CUST0160,Highly durable and easy to use.,4
CUST0161,The design and usability are outstanding.,4
CUST0162,Would not recommend this to anyone.,1
CUST0163,Great value for the price. Highly recommend it.,4
CUST0164,Extremely dissatisfied. Waste of money.,2
CUST0165,"Average experience, nothing special.",2
CUST0166,Fairly priced and average in performance.,2
CUST0167,Top-notch product. Excellent customer service as well.,5
CUST0168,Highly durable and easy to use.,5
CUST0169,Highly durable and easy to use.,5
CUST0170,It's functional but has its flaws.,2
CUST0171,Would not recommend this to anyone.,2
CUST0172,Top-notch product. Excellent customer service as well.,5
CUST0173,"It works fine, but I was expecting more.",2
CUST0174,Product did not match the description.,1
CUST0175,Poor performance and unreliable.,2
CUST0176,Great value for the price. Highly recommend it.,4
CUST0177,Top-notch product. Excellent customer service as well.,4
CUST0178,Quality is subpar and lacks durability.,2
CUST0179,"Average experience, nothing special.",2
CUST0180,Impressive features and reliable functionality.,5
CUST0181,Top-notch product. Excellent customer service as well.,4
CUST0182,Impressive features and reliable functionality.,4
CUST0183,This product exceeded my expectations and works flawlessly.,4
CUST0184,"Not worth the money, poorly made.",2
CUST0185,Well built and performs better than expected.,4
CUST0186,Product is decent but could use improvements.,2
CUST0187,Impressive features and reliable functionality.,5
CUST0188,Impressive features and reliable functionality.,4
CUST0189,Impressive features and reliable functionality.,4
CUST0190,Quality is subpar and lacks durability.,2
CUST0191,Great value for the price. Highly recommend it.,4
CUST0192,The design and usability are outstanding.,5
CUST0193,Impressive features and reliable functionality.,4
CUST0194,Highly durable and easy to use.,5
CUST0195,Top-notch product. Excellent customer service as well.,5
CUST0196,"Neither good nor bad, just acceptable.",2
CUST0197,"Terrible product, stopped working after a week.",1
CUST0198,The design and usability are outstanding.,5
CUST0199,Quality is subpar and lacks durability.,2
CUST0200,Product is decent but could use improvements.,2
CUST0201,Quality is subpar and lacks durability.,2
CUST0202,"Neither good nor bad, just acceptable.",2
CUST0203,The design and usability are outstanding.,5
CUST0204,Very disappointed with the quality and support.,1
